001030313                                         ,国有公司、企业、事业单位人员滥用职权罪                               ,1
001030314                                         ,徇私舞弊低价折股、出售国有资产罪                                  ,1
001030315                                         ,徇私舞弊造成破产、亏损罪                                      ,1
001030316                                         ,违规披露、不披露重要信息罪                                     ,1
001030317                                         ,虚假破产罪                                             ,1
001030318                                         ,非国家工作人员受贿罪                                        ,1
001030319                                         ,对非国家工作人员行贿罪                                       ,1
001030320                                         ,背信损害上市公司利益罪                                       ,1
001030321                                         ,对外国公职人员、国际公共组织官员行贿罪                               ,1
0010304                                           ,破坏金融管理秩序罪                                         ,0
001030401                                         ,伪造货币罪                                             ,1
001030402                                         ,出售、购买、运输假币罪                                       ,1
001030403                                         ,金融工作人员购买假币、以假币换取货币罪                               ,1
001030404                                         ,持有、使用假币罪                                          ,1
001030405                                         ,变造货币罪                                             ,1
001030406                                         ,擅自设立金融机构罪                                         ,1
001030407                                         ,伪造、变造、转让金融机构经营许可证、批准文件罪                           ,1
001030408                                         ,高利转贷罪                                             ,1
001030409                                         ,非法吸收公众存款罪                                         ,1
001030410                                         ,伪造、变造金融票证罪                                        ,1
001030411                                         ,伪造、变造国家有价证券罪                                      ,1
001030412                                         ,伪造、变造股票、公司、企业债券罪                                  ,1
001030413                                         ,擅自发行股票、公司、企业债券罪                                   ,1
001030414                                         ,内幕交易、泄露内幕信息罪                                      ,1
001030415                                         ,编造并传播证券、期货交易虚假信息罪                                 ,1
001030416                                         ,诱骗投资者买卖证券、期货合约罪                                   ,1
001030417                                         ,操纵证券、期货交易价格罪                                      ,1
001030418                                         ,骗购外汇罪                                             ,1
001030419                                         ,违法向关系人发放贷款罪                                       ,1
001030420                                         ,违法发放贷款罪                                           ,1
001030421                                         ,用帐外客户资金非法拆借、发放贷款罪                                 ,1
001030422                                         ,非法出具金融票证罪                                         ,1
001030423                                         ,对违法票据承兑、付款、保证罪                                    ,1
001030424                                         ,逃汇罪                                               ,1
001030425                                         ,洗钱罪                                               ,1
001030426                                         ,骗取贷款、票据承兑、金融票证罪                                   ,1
001030427                                         ,妨害信用卡管理罪                                          ,1
001030428                                         ,窃取、收买、非法提供信用卡信息罪                                  ,1
001030429                                         ,操纵证券、期货市场罪                                        ,1
001030430                                         ,背信运用受托财产罪                                         ,1
001030431                                         ,违法运用资金罪                                           ,1
001030433                                         ,吸收客户资金不入账罪                                        ,1
001030434                                         ,违规出具金融票证罪                                         ,1
001030435                                         ,利用未公开信息交易罪                                        ,1
0010305                                           ,金融诈骗罪                                             ,0
001030501                                         ,集资诈骗罪                                             ,1
001030502                                         ,贷款诈骗罪                                             ,1
001030503                                         ,票据诈骗罪                                             ,1
001030504                                         ,金融凭证诈骗罪                                           ,1
001030505                                         ,信用证诈骗罪                                            ,1
001030506                                         ,信用卡诈骗罪                                            ,1
001030507                                         ,有价证券诈骗罪                                           ,1
001030508                                         ,保险诈骗罪                                             ,1
0010306                                           ,危害税收征管罪                                           ,0
001030601                                         ,偷税罪                                               ,1
001030602                                         ,抗税罪                                               ,1
001030603                                         ,逃避追缴欠税罪                                           ,1
001030604                                         ,骗取出口退税罪                                           ,1
001030605                                         ,虚开增值税专用发票、用于骗取出口退税、抵押税款发票罪                        ,1
001030606                                         ,伪造、出售伪造的增值税专用发票罪                                  ,1
001030607                                         ,非法出售增值税专用发票罪                                      ,1
001030608                                         ,非法购买增值税专用发票、购买伪造的增值税专用发票罪                         ,1
001030609                                         ,非法制造、出售非法制造的用于骗取出口退税、抵押税款发票罪                      ,1
001030610                                         ,非法制造、出售非法制造的发票罪                                   ,1
001030611                                         ,非法出售用于骗取出口退税、抵扣税款发票罪                              ,1
001030612                                         ,非法出售发票罪                                           ,1
001030613                                         ,逃税罪                                               ,1
001030614                                         ,虚开发票罪                                             ,1
001030615                                         ,持有伪造的发票罪                                          ,1
0010307                                           ,侵犯知识产权罪                                           ,0
001030701                                         ,假冒注册商标罪                                           ,1
001030702                                         ,销售假冒注册商标的商品罪                                      ,1
001030703                                         ,非法制造、销售非法制造的注册商标标识罪                               ,1
001030704                                         ,假冒专利罪                                             ,1
001030705                                         ,侵犯著作权罪                                            ,1
001030706                                         ,销售侵权复制品罪                                          ,1
001030707                                         ,侵犯商业秘密罪                                           ,1
0010308                                           ,扰乱市场秩序罪                                           ,0
001030801                                         ,损害商业信誉、商品声誉罪                                      ,1
001030802                                         ,虚假广告罪                                             ,1
001030803                                         ,串通投标罪                                             ,1
001030804                                         ,合同诈骗罪                                             ,1
001030805                                         ,非法经营罪                                             ,1
001030806                                         ,强迫交易罪                                             ,1
001030807                                         ,伪造、倒卖伪造的有价票证罪                                     ,1
001030808                                         ,倒卖车票、船票罪                                          ,1
001030809                                         ,非法转让、倒卖土地使用权罪                                     ,1
001030810                                         ,提供虚假证明文件罪                                         ,1
001030811                                         ,出具证明文件重大失实罪                                       ,1
001030812                                         ,逃避商检罪                                             ,1
001030813                                         ,组织、领导传销活动罪                                        ,1
00104                                             ,侵犯公民人身权利民主权利罪                                     ,0
0010401                                           ,故意杀人罪                                             ,1
0010402                                           ,过失致人死亡罪                                           ,1
0010403                                           ,故意伤害罪                                             ,1
0010404                                           ,过失致人重伤罪                                           ,1
0010405                                           ,强奸罪                                               ,1
0010406                                           ,强制猥亵、侮辱妇女罪                                        ,1
0010407                                           ,猥亵儿童罪                                             ,1
0010408                                           ,非法拘禁罪                                             ,1
0010409                                           ,绑架罪                                               ,1
0010410                                           ,拐卖妇女、儿童罪                                          ,1
0010411                                           ,收买被拐卖的妇女、儿童罪                                      ,1
0010412                                           ,聚众阻碍解救被收买的妇女、儿童罪                                  ,1
0010413                                           ,诬告陷害罪                                             ,1
0010414                                           ,强迫职工劳动罪                                           ,1
0010415                                           ,雇用童工从事危重劳动罪                                       ,1
0010416                                           ,非法搜查罪                                             ,1
0010417                                           ,非法侵入住宅罪                                           ,1
0010418                                           ,侮辱罪                                               ,1
0010419                                           ,诽谤罪                                               ,1
0010420                                           ,刑讯逼供罪                                             ,1
0010421                                           ,暴力取证罪                                             ,1
0010422                                           ,虐待被监管人罪                                           ,1
0010423                                           ,煽动民族仇恨、民族歧视罪                                      ,1
0010424                                           ,出版歧视、侮辱少数民族作品罪                                    ,1
0010425                                           ,非法剥夺公民宗教信仰自由罪                                     ,1
0010426                                           ,侵犯少数民族风俗习惯罪                                       ,1
0010427                                           ,侵犯通信自由罪                                           ,1
0010428                                           ,私自开拆、隐匿、毁弃邮件、电报罪                                  ,1
0010429                                           ,报复陷害罪                                             ,1
